entity,iter,beta,truck,plant,trips,delivered,selected,wait_pl,wait_cd,no_empty,no_full,util_%,queue_loaded,queue_empty_p,queue_empty_cd
truck,45,0.0,1.0,1,28.0,27,28,0.2,15.98,11.0,2.0,96.63,1,0,0
truck,45,0.0,2.0,2,26.0,25,26,0.0,9.96,14.0,0.0,97.93,1,0,0
truck,45,0.0,3.0,3,27.0,25,26,2.76,15.93,8.0,2.0,96.11,0,0,0
plant,45,0.0,,1,,27,28,,,,,,1,0,0
plant,45,0.0,,2,,25,26,,,,,,1,0,0
plant,45,0.0,,3,,25,26,,,,,,0,0,0
truck,46,0.0,1.0,1,27.0,27,28,0.27,25.65,12.0,1.0,94.6,0,0,0
truck,46,0.0,2.0,2,26.0,24,25,4.86,19.22,13.0,3.0,94.98,0,0,0
truck,46,0.0,3.0,3,25.0,24,25,0.0,10.6,8.0,0.0,97.79,1,0,0
plant,46,0.0,,1,,27,28,,,,,,0,0,0
plant,46,0.0,,2,,24,25,,,,,,0,0,0
plant,46,0.0,,3,,24,25,,,,,,1,0,0
truck,47,0.0,1.0,1,28.0,31,32,12.81,0.0,0.0,5.0,97.33,0,0,0
truck,47,0.0,2.0,2,26.0,27,28,17.85,0.0,0.0,3.0,96.28,0,0,0
truck,47,0.0,3.0,3,28.0,22,22,1.48,0.0,0.0,2.0,99.69,0,0,1
plant,47,0.0,,1,,31,32,,,,,,0,0,0
plant,47,0.0,,2,,27,28,,,,,,0,0,0
plant,47,0.0,,3,,22,22,,,,,,0,0,1
truck,48,0.0,1.0,1,26.0,28,29,5.65,6.56,7.0,1.0,97.46,1,0,0
truck,48,0.0,2.0,2,26.0,26,26,10.75,15.95,10.0,6.0,94.44,0,0,1
truck,48,0.0,3.0,3,26.0,22,23,10.34,30.62,18.0,2.0,91.47,1,0,0
plant,48,0.0,,1,,28,29,,,,,,1,0,0
plant,48,0.0,,2,,26,26,,,,,,0,0,1
plant,48,0.0,,3,,22,23,,,,,,1,0,0
