entity,iter,truck,plant,trips,delivered,wait_pl,wait_cd,no_empty,no_full,util_%,queue_loaded,queue_empty_p,queue_empty_cd
truck,39,3.0,3,23.0,23,0.0,0.0,0.0,0.0,100.0,0,0,1
plant,39,,1,,31,,,,,,0,0,1
plant,39,,2,,25,,,,,,1,0,0
plant,39,,3,,23,,,,,,0,0,1
truck,40,1.0,1,31.0,30,0.6766489745064632,27.055096282624476,7.0,2.0,94.22,0,0,0
truck,40,2.0,2,26.0,25,0.0,8.741583190959659,2.0,0.0,98.18,0,0,0
truck,40,3.0,3,24.0,23,0.0,0.0,0.0,0.0,100.0,0,0,0
plant,40,,1,,30,,,,,,0,0,0
plant,40,,2,,25,,,,,,0,0,0
plant,40,,3,,23,,,,,,0,0,0
truck,41,1.0,1,32.0,31,3.5990673391010546,4.542136904199168,4.0,5.0,98.3,1,0,0
truck,41,2.0,2,26.0,26,0.0,0.0,0.0,0.0,100.0,0,0,1
truck,41,3.0,3,23.0,23,0.0,0.0,0.0,0.0,100.0,0,0,1
plant,41,,1,,31,,,,,,1,0,0
plant,41,,2,,26,,,,,,0,0,1
plant,41,,3,,23,,,,,,0,0,1
truck,42,1.0,1,31.0,30,4.4128456596640255,22.188314617548087,7.0,4.0,94.46,0,0,0
truck,42,2.0,2,26.0,25,0.0,4.655862962036622,1.0,0.0,99.03,1,0,0
truck,42,3.0,3,24.0,23,0.0,1.9734666576850657,3.0,0.0,99.59,0,0,0
plant,42,,1,,30,,,,,,0,0,0
plant,42,,2,,25,,,,,,1,0,0
plant,42,,3,,23,,,,,,0,0,0
truck,43,1.0,1,32.0,32,1.4347302790959162,9.3455493856776,3.0,4.0,97.75,0,0,1
truck,43,2.0,2,26.0,25,0.0,0.37388958132243033,1.0,0.0,99.92,0,0,0
truck,43,3.0,3,24.0,23,0.0,0.0,0.0,0.0,100.0,1,0,0
plant,43,,1,,32,,,,,,0,0,1
plant,43,,2,,25,,,,,,0,0,0
plant,43,,3,,23,,,,,,1,0,0
truck,44,1.0,1,30.0,29,1.981888071612424,31.61898504099493,12.0,3.0,93.0,0,0,0
truck,44,2.0,2,26.0,25,0.0,7.591060789919766,5.0,0.0,98.42,0,0,0
truck,44,3.0,3,23.0,23,0.0,1.5436681953696052,1.0,0.0,99.68,0,0,1
plant,44,,1,,29,,,,,,0,0,0
plant,44,,2,,25,,,,,,0,0,0
plant,44,,3,,23,,,,,,0,0,1
truck,45,1.0,1,29.0,29,2.4289482467696075,41.790069730501884,14.0,1.0,90.79,0,0,1
truck,45,2.0,2,26.0,26,0.0,6.982716413473469,3.0,0.0,98.55,0,0,1
truck,45,3.0,3,23.0,22,0.0,8.340448168382068,4.0,0.0,98.26,1,0,0
plant,45,,1,,29,,,,,,0,0,1
plant,45,,2,,26,,,,,,0,0,1
plant,45,,3,,22,,,,,,1,0,0
truck,46,1.0,1,32.0,31,2.382577535767453,10.046499690312658,4.0,3.0,97.41,0,0,0
truck,46,2.0,2,26.0,25,0.0,0.0,0.0,0.0,100.0,1,0,0
truck,46,3.0,3,23.0,23,0.0,0.0,0.0,0.0,100.0,0,0,1
plant,46,,1,,31,,,,,,0,0,0
plant,46,,2,,25,,,,,,1,0,0
plant,46,,3,,23,,,,,,0,0,1
truck,47,1.0,1,31.0,30,0.36693149999490515,23.57648863858524,7.0,2.0,95.01,1,0,0
truck,47,2.0,2,26.0,26,0.0,5.3460441048487155,2.0,0.0,98.89,0,0,1
truck,47,3.0,3,23.0,23,0.0,2.212205941381626,3.0,0.0,99.54,0,0,1
plant,47,,1,,30,,,,,,1,0,0
plant,47,,2,,26,,,,,,0,0,1
plant,47,,3,,23,,,,,,0,0,1
truck,48,1.0,1,30.0,30,1.8618280449155122,26.858459380260456,12.0,2.0,94.02,0,0,1
truck,48,2.0,2,26.0,25,0.0,6.8988814335365305,5.0,0.0,98.56,0,0,0
truck,48,3.0,3,23.0,22,0.0,3.3301770930463874,2.0,0.0,99.31,0,0,0
plant,48,,1,,30,,,,,,0,0,1
plant,48,,2,,25,,,,,,0,0,0
plant,48,,3,,22,,,,,,0,0,0
truck,49,1.0,1,30.0,29,1.3418250994535867,41.66672052457493,15.0,3.0,91.04,0,0,0
truck,49,2.0,2,26.0,26,0.0,2.2744519896279343,2.0,0.0,99.53,0,0,1
truck,49,3.0,3,23.0,22,0.0,4.237426669992587,1.0,0.0,99.12,1,0,0
plant,49,,1,,29,,,,,,0,0,0
plant,49,,2,,26,,,,,,0,0,1
plant,49,,3,,22,,,,,,1,0,0
truck,50,1.0,1,31.0,30,1.2219159593559539,19.31216489884882,12.0,1.0,95.72,0,0,0
truck,50,2.0,2,26.0,26,0.0,5.969616033934585,2.0,0.0,98.76,0,0,1
truck,50,3.0,3,23.0,23,0.0,0.0,0.0,0.0,100.0,0,0,1
plant,50,,1,,30,,,,,,0,0,0
plant,50,,2,,26,,,,,,0,0,1
plant,50,,3,,23,,,,,,0,0,1
truck,51,1.0,1,31.0,30,3.1600109176321283,15.313168765776012,6.0,5.0,96.15,0,0,0
truck,51,2.0,2,26.0,25,0.0,1.2604446909099352,1.0,0.0,99.74,0,0,0
truck,51,3.0,3,23.0,23,0.0,3.5858477459212565,1.0,0.0,99.25,0,0,1
plant,51,,1,,30,,,,,,0,0,0
plant,51,,2,,25,,,,,,0,0,0
plant,51,,3,,23,,,,,,0,0,1
truck,52,1.0,1,31.0,31,1.551219564421686,18.031658044070696,8.0,2.0,95.92,0,0,1
truck,52,2.0,2,26.0,25,0.0,3.539193924556514,2.0,0.0,99.26,1,0,0
truck,52,3.0,3,23.0,22,0.0,0.0,0.0,0.0,100.0,0,0,0
plant,52,,1,,31,,,,,,0,0,1
plant,52,,2,,25,,,,,,1,0,0
plant,52,,3,,22,,,,,,0,0,0
truck,53,1.0,1,31.0,30,0.3034714975917723,26.329748741626126,11.0,1.0,94.45,1,0,0
truck,53,2.0,2,26.0,25,0.0,5.000841771329732,3.0,0.0,98.96,1,0,0
truck,53,3.0,3,23.0,23,0.0,0.9844288051236845,1.0,0.0,99.79,0,0,1
plant,53,,1,,30,,,,,,1,0,0
plant,53,,2,,25,,,,,,1,0,0
plant,53,,3,,23,,,,,,0,0,1
truck,54,1.0,1,29.0,28,0.6338929358203131,50.67096537551812,13.0,2.0,89.31,0,0,0
truck,54,2.0,2,25.0,24,0.0,14.707775354554002,8.0,0.0,96.94,0,0,0
truck,54,3.0,3,23.0,23,0.0,3.2249033321244838,3.0,0.0,99.33,0,0,1
plant,54,,1,,28,,,,,,0,0,0
plant,54,,2,,24,,,,,,0,0,0
plant,54,,3,,23,,,,,,0,0,1
truck,55,1.0,1,31.0,30,0.26390489012345597,13.667554053932818,8.0,1.0,97.1,0,0,0
truck,55,2.0,2,26.0,25,0.0,5.6225893447068955,2.0,0.0,98.83,0,0,0
truck,55,3.0,3,23.0,23,0.0,0.0,0.0,0.0,100.0,0,0,1
plant,55,,1,,30,,,,,,0,0,0
plant,55,,2,,25,,,,,,0,0,0
plant,55,,3,,23,,,,,,0,0,1
truck,56,1.0,1,31.0,30,3.2161918019855946,18.493691026823377,9.0,4.0,95.48,0,0,0
truck,56,2.0,2,26.0,25,0.0,2.2158417635475516,3.0,0.0,99.54,1,0,0
truck,56,3.0,3,23.0,23,0.0,5.704703992389312,3.0,0.0,98.81,0,0,1
plant,56,,1,,30,,,,,,0,0,0
plant,56,,2,,25,,,,,,1,0,0
plant,56,,3,,23,,,,,,0,0,1
truck,57,1.0,1,31.0,30,3.5322611871088405,13.540558087839258,6.0,4.0,96.44,0,0,0
truck,57,2.0,2,26.0,25,0.0,0.0,0.0,0.0,100.0,0,0,0
truck,57,3.0,3,24.0,23,0.0,0.0,0.0,0.0,100.0,0,0,0
plant,57,,1,,30,,,,,,0,0,0
plant,57,,2,,25,,,,,,0,0,0
plant,57,,3,,23,,,,,,0,0,0
truck,58,1.0,1,31.0,30,4.64625621193915,15.699275517949133,8.0,5.0,95.76,0,0,0
truck,58,2.0,2,25.0,25,0.0,0.0,0.0,0.0,100.0,0,0,1
truck,58,3.0,3,23.0,23,0.0,0.0,0.0,0.0,100.0,0,0,1
plant,58,,1,,30,,,,,,0,0,0
plant,58,,2,,25,,,,,,0,0,1
plant,58,,3,,23,,,,,,0,0,1
truck,59,1.0,1,31.0,30,4.1734463954780665,29.419655432639765,14.0,4.0,93.0,0,0,0
truck,59,2.0,2,26.0,25,0.0,3.0913059755961143,4.0,0.0,99.36,0,0,0
truck,59,3.0,3,23.0,23,0.0,0.6642023940490134,1.0,0.0,99.86,0,0,1
plant,59,,1,,30,,,,,,0,0,0
plant,59,,2,,25,,,,,,0,0,0
plant,59,,3,,23,,,,,,0,0,1
truck,60,1.0,1,32.0,31,2.7117593889744533,9.854221142765141,7.0,4.0,97.38,1,0,0
truck,60,2.0,2,26.0,25,0.0,0.0,0.0,0.0,100.0,0,0,0
truck,60,3.0,3,23.0,23,0.0,0.0,0.0,0.0,100.0,0,0,1
plant,60,,1,,31,,,,,,1,0,0
plant,60,,2,,25,,,,,,0,0,0
plant,60,,3,,23,,,,,,0,0,1
truck,61,1.0,1,30.0,29,2.8160159529010897,33.72437710371602,10.0,4.0,92.39,1,0,0
truck,61,2.0,2,25.0,24,0.0,22.071609032821016,8.0,0.0,95.4,0,0,0
truck,61,3.0,3,23.0,23,0.0,4.570594998321127,3.0,0.0,99.05,0,0,1
plant,61,,1,,29,,,,,,1,0,0
plant,61,,2,,24,,,,,,0,0,0
plant,61,,3,,23,,,,,,0,0,1
truck,62,1.0,1,30.0,28,1.9740883573126666,39.26896494509599,11.0,2.0,91.41,1,0,0
truck,62,2.0,2,26.0,25,0.0,5.372769719373039,4.0,0.0,98.88,0,0,0
truck,62,3.0,3,23.0,22,0.0,0.0,0.0,0.0,100.0,1,0,0
plant,62,,1,,28,,,,,,1,0,0
plant,62,,2,,25,,,,,,0,0,0
plant,62,,3,,22,,,,,,1,0,0
truck,63,1.0,1,31.0,30,1.5057154778722577,11.352522364229202,9.0,4.0,97.32,0,0,0
truck,63,2.0,2,25.0,25,0.0,6.53125143436872,3.0,0.0,98.64,0,0,1
truck,63,3.0,3,23.0,23,0.0,1.311638641517618,2.0,0.0,99.73,0,0,1
plant,63,,1,,30,,,,,,0,0,0
plant,63,,2,,25,,,,,,0,0,1
plant,63,,3,,23,,,,,,0,0,1
truck,64,1.0,1,30.0,29,1.6789689834712416,37.32620881062081,13.0,3.0,91.87,0,0,0
truck,64,2.0,2,25.0,25,0.0,11.964158802549832,4.0,0.0,97.51,0,0,1
truck,64,3.0,3,23.0,22,0.0,7.941333739274427,3.0,0.0,98.35,0,0,0
plant,64,,1,,29,,,,,,0,0,0
plant,64,,2,,25,,,,,,0,0,1
